City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
177,Tabuk,PH,17.4189,121.4443,79.07,76,100,2.46,light rain
178,Souillac,MU,-20.5167,57.5167,69.37,83,75,10.36,light rain
179,Khyriv,UA,49.5333,22.8524,80.49,42,30,9.91,heavy intensity rain
180,Anqing,CN,30.5092,117.0506,77.68,93,99,5.57,light rain
181,Christchurch,NZ,-43.5333,172.6333,41.0,88,49,6.91,scattered clouds
182,Houma,US,29.5958,-90.7195,87.8,78,1,5.75,clear sky
183,Betafo,MG,-19.8333,46.85,61.79,38,96,6.71,overcast clouds
184,Srednekolymsk,RU,67.45,153.6833,44.06,69,100,10.49,overcast clouds
185,Sawakin,SD,19.1059,37.3321,100.8,39,100,13.04,overcast clouds
186,Sillod,IN,20.3,75.65,75.74,76,100,17.18,overcast clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,82,90,5.75,moderate rain
188,Road Town,VG,18.4167,-64.6167,85.19,75,93,19.01,overcast clouds
189,Hamilton,US,39.1834,-84.5333,81.99,68,1,0.0,clear sky
190,Fomboni,KM,-12.28,43.7425,76.24,71,11,13.91,few clouds
191,Mineiros,BR,-17.5694,-52.5511,83.23,26,24,10.42,few clouds
192,Sioux Lookout,CA,50.1001,-91.917,66.27,72,1,0.0,clear sky
193,Boende,CD,-0.2167,20.8667,96.96,18,84,2.86,broken clouds
194,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,83,75,11.7,broken clouds
195,Waspan,NI,14.7419,-83.9717,80.28,75,23,2.89,few clouds
196,Faanui,PF,-16.4833,-151.75,77.5,76,46,7.63,light rain
197,San Patricio,US,28.017,-97.5169,84.81,74,3,4.12,clear sky
198,Pevek,RU,69.7008,170.3133,33.96,94,100,17.27,overcast clouds
199,Saskylakh,RU,71.9167,114.0833,60.64,63,32,15.86,scattered clouds
200,Nova Olimpia,BR,-14.7972,-57.2881,91.51,26,46,2.84,scattered clouds
201,Bowen,AU,-20.0167,148.2333,53.82,76,98,7.31,overcast clouds
202,Candido Mendes,BR,-1.4467,-45.7167,85.95,59,37,6.4,scattered clouds
203,El Roble,CO,9.1019,-75.1951,75.27,92,100,7.31,overcast clouds
204,Sabang,ID,5.8933,95.3214,83.77,77,88,21.0,overcast clouds
205,Swan Hill,AU,-35.3378,143.5544,62.13,36,100,20.0,overcast clouds
206,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,54,0,10.25,clear sky
207,Oussouye,SN,12.485,-16.5469,87.51,57,65,8.57,broken clouds
208,Kaitangata,NZ,-46.2817,169.8464,42.93,70,90,5.93,overcast clouds
209,Skreia,NO,60.65,10.9333,69.89,93,100,2.73,moderate rain
210,Berlevag,NO,70.8578,29.0864,52.68,85,55,10.67,broken clouds
211,Novo Aripuana,BR,-5.1206,-60.3797,90.43,43,74,1.59,broken clouds
212,Berbera,SO,10.4396,45.0143,89.33,51,53,8.57,broken clouds
213,Stromness,GB,58.965,-3.296,61.05,86,99,4.36,overcast clouds
214,Karratha,AU,-20.7377,116.8463,72.23,79,10,10.69,clear sky
215,Hokitika,NZ,-42.7167,170.9667,47.48,86,76,2.62,broken clouds
216,Amiens,FR,49.9,2.3,67.24,74,100,15.5,overcast clouds
217,Kasane,BW,-17.8167,25.15,73.53,23,0,8.23,clear sky
218,Ostrovnoy,RU,68.0531,39.5131,48.49,79,76,13.87,broken clouds
219,Kavieng,PG,-2.5744,150.7967,82.87,75,90,13.22,overcast clouds
220,Najran,SA,17.4924,44.1277,97.45,17,100,15.35,overcast clouds
221,Dauphin,CA,51.1494,-100.0502,66.34,77,1,0.0,clear sky
222,Velikiy Novgorod,RU,58.5167,31.2833,82.74,34,95,3.71,overcast clouds
223,Eureka,US,40.8021,-124.1637,56.12,95,100,1.99,overcast clouds
224,Champerico,GT,14.3,-91.9167,90.72,79,75,3.83,broken clouds
225,Kurovskoye,RU,55.5783,38.9108,84.72,30,32,3.36,scattered clouds
226,Abu Samrah,SY,35.3029,37.1841,99.16,19,0,19.26,clear sky
227,Guane,CU,22.2025,-84.0875,85.75,63,23,6.82,few clouds
228,Athabasca,CA,54.7169,-113.2854,59.41,86,70,7.78,broken clouds
229,Oranjemund,NA,-28.55,16.4333,59.34,74,0,11.59,clear sky
230,Zhangjiakou,CN,40.81,114.8794,73.72,73,76,3.94,broken clouds
231,Victoria,HK,22.2855,114.1577,87.78,81,78,1.99,light rain
232,Chiredzi,ZW,-21.05,31.6667,72.95,36,11,10.38,few clouds
233,Inuvik,CA,68.3499,-133.7218,54.46,94,75,6.91,broken clouds
234,San Cristobal,VE,7.7669,-72.225,71.78,99,100,2.93,overcast clouds
235,Kruisfontein,ZA,-34.0033,24.7314,80.89,30,1,10.22,clear sky
236,Tigil,RU,57.8,158.6667,51.75,97,100,5.39,overcast clouds
237,Sungaipenuh,ID,-2.0833,101.3833,64.38,97,8,0.89,clear sky
238,Palmer,US,42.1584,-72.3287,83.95,55,20,3.44,few clouds
239,Lanja,IN,16.85,73.55,76.46,87,100,9.53,light rain
240,Suhaia,RO,43.7333,25.25,102.65,20,3,3.67,clear sky
241,Ucluelet,CA,48.9329,-125.5528,60.1,92,1,2.64,clear sky
242,Verkhoyansk,RU,67.5447,133.385,49.84,62,12,7.43,few clouds
243,Batagay,RU,67.6333,134.6333,47.86,79,31,5.82,scattered clouds
244,Gdov,RU,58.7406,27.8122,81.68,42,100,8.79,overcast clouds
245,Raglan,NZ,-37.8,174.8833,48.33,80,50,13.2,scattered clouds
246,Ambulu,ID,-8.345,113.6058,72.72,90,33,3.94,scattered clouds
247,Ozernovskiy,RU,51.5,156.5167,55.78,99,100,8.9,light rain
248,Leningradskiy,RU,69.3833,178.4167,35.96,97,100,3.71,light rain
249,Angoche,MZ,-16.2325,39.9086,75.24,51,5,13.2,clear sky
250,Nikolskoye,RU,59.7035,30.7861,86.02,29,54,6.71,broken clouds
251,Thinadhoo,MV,0.5333,72.9333,82.38,71,29,5.17,scattered clouds
252,Tirumullaivasal,IN,11.2333,79.8333,88.79,60,92,16.78,overcast clouds
253,Novyy Urengoy,RU,66.0833,76.6333,57.11,57,45,7.61,scattered clouds
254,Pangody,RU,65.85,74.4859,60.04,47,13,9.08,few clouds
255,Pangnirtung,CA,66.1451,-65.7125,44.6,100,90,2.3,mist
256,Caravelas,BR,-17.7125,-39.2481,80.04,55,0,4.72,clear sky
257,Deputatskiy,RU,69.3,139.9,40.41,72,76,4.38,broken clouds
258,Chokurdakh,RU,70.6333,147.9167,36.34,84,100,10.78,overcast clouds
259,Mint Hill,US,35.1796,-80.6473,83.44,83,1,3.44,clear sky
260,Oranjestad,AW,12.524,-70.027,85.95,74,40,17.27,scattered clouds
261,Lexington,US,37.9887,-84.4777,81.55,54,1,5.75,clear sky
262,Moose Factory,CA,51.2585,-80.6094,64.4,63,90,4.61,overcast clouds
263,Kovdor,RU,67.5662,30.4758,72.32,39,14,1.34,few clouds
264,Savonlinna,FI,61.8699,28.88,82.26,39,8,3.44,clear sky
265,Laguna,US,38.421,-121.4238,78.64,50,1,1.01,clear sky
