City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Deputatskiy,RU,2021-07-21 14:18:25,69.3,139.9,46.53,82,100,3.09
126,North Platte,US,2021-07-21 14:18:25,41.1239,-100.7654,72.99,66,1,8.01
127,Atuona,PF,2021-07-21 14:18:25,-9.8,-139.0333,77.43,69,100,20.45
128,Aldan,RU,2021-07-21 14:18:26,58.6031,125.3894,56.57,94,100,3.58
129,Hami,CN,2021-07-21 14:18:26,42.8,93.45,90.5,20,98,2.84
130,Norfolk,US,2021-07-21 14:18:26,42.1668,-71.2495,80.85,72,1,8.05
131,Pierre,US,2021-07-21 14:18:26,44.3683,-100.351,74.98,56,1,19.57
132,Sao Borja,BR,2021-07-21 14:18:26,-28.6606,-56.0044,59.16,44,0,5.77
133,Inisa,NG,2021-07-21 14:18:26,7.85,4.3333,85.69,70,86,7.63
134,Souillac,MU,2021-07-21 14:18:26,-20.5167,57.5167,68.38,88,75,13.8
135,Ballina,AU,2021-07-21 14:18:26,-28.8667,153.5667,45.79,71,44,11.79
136,Padang,ID,2021-07-21 14:18:27,-0.9492,100.3543,78.85,85,95,2.59
137,Alofi,NU,2021-07-21 14:18:27,-19.0595,-169.9187,71.49,94,100,6.91
138,Sibolga,ID,2021-07-21 14:18:27,1.7427,98.7792,77.74,88,100,1.88
139,Bintulu,MY,2021-07-21 14:18:27,3.1667,113.0333,77.41,88,40,0.0
140,Ostrovnoy,RU,2021-07-21 14:18:27,68.0531,39.5131,49.23,75,98,22.62
141,Alihe,CN,2021-07-21 14:18:27,50.5667,123.7167,72.43,96,53,2.75
142,Sechura,PE,2021-07-21 14:18:28,-5.5569,-80.8222,68.38,74,0,9.8
143,Shaunavon,CA,2021-07-21 14:18:28,49.6501,-108.4181,69.58,59,77,3.04
144,Poum,NC,2021-07-21 14:18:28,-20.2333,164.0167,71.44,66,25,11.18
145,Saint-Philippe,RE,2021-07-21 14:18:28,-21.3585,55.7679,71.15,85,30,15.59
146,Boa Esperanca,BR,2021-07-21 14:18:28,-21.09,-45.5658,69.58,39,93,2.98
147,Wanning,CN,2021-07-21 14:18:28,18.8003,110.3967,81.28,87,100,2.86
148,Ancud,CL,2021-07-21 14:18:29,-41.8697,-73.8203,49.53,94,100,7.76
149,Thompson,CA,2021-07-21 14:18:29,55.7435,-97.8558,66.36,68,75,3.44
150,Usinsk,RU,2021-07-21 14:13:33,65.9939,57.5281,66.33,50,73,1.83
151,Wattegama,LK,2021-07-21 14:18:29,6.7989,81.4808,82.99,58,100,2.59
152,Bambous Virieux,MU,2021-07-21 14:18:29,-20.3428,57.7575,68.25,88,75,13.8
153,Uruzgan,AF,2021-07-21 14:18:29,32.8333,66.0,88.3,10,1,6.35
154,Aleksandrov Gay,RU,2021-07-21 14:18:30,50.147,48.5704,89.85,34,49,14.88
155,Laguna,US,2021-07-21 14:18:30,38.421,-121.4238,73.9,70,1,3.0
156,San Angelo,US,2021-07-21 14:18:30,31.4638,-100.437,77.97,75,1,5.01
157,Saldanha,ZA,2021-07-21 14:18:30,-33.0117,17.9442,57.25,70,61,25.28
158,Khatanga,RU,2021-07-21 14:18:31,71.9667,102.5,55.65,89,100,7.07
159,State College,US,2021-07-21 14:14:57,40.7934,-77.86,73.89,81,90,3.0
160,Dalby,AU,2021-07-21 14:18:31,-27.1833,151.2667,34.99,88,0,6.38
161,Opole,PL,2021-07-21 14:18:31,50.5,18.0,76.57,50,64,9.22
162,Kununurra,AU,2021-07-21 14:18:31,-15.7667,128.7333,60.78,72,7,0.0
163,Bardiyah,LY,2021-07-21 14:18:31,31.7561,25.0865,83.89,59,1,20.02
164,Hinton,CA,2021-07-21 14:18:32,53.4001,-117.5857,58.1,95,89,2.17
165,Lusambo,CD,2021-07-21 14:18:32,-4.9667,23.45,100.85,15,7,2.24
166,Butaritari,KI,2021-07-21 14:18:32,3.0707,172.7902,81.66,78,80,10.31
